STRUCNUM,Common_EN_List,Number_of_common_elements
18C014 52005,"(241, 330, 510, 515)",4
18C017121100520,"(31, 111, 216, 228, 235, 330, 510, 515)",8
18C020087600231,"(31, 111, 216, 228, 235, 330, 510, 515)",8
18C023097500520,"(206, 216, 330, 510, 515)",5
18C031067600921,"(215, 306, 310, 330, 510, 515)",6
18C032067601743,"(216, 228, 306, 330, 510, 515)",6
18C033067601784,"(215, 306, 310, 330, 510, 515)",6
18C034067601898,"(216, 228, 306, 330, 510, 515)",6
18C035067602075,"(216, 228, 306, 330, 510, 515)",6
18C039134900500,"(216, 228, 330, 515)",4
18C12A052000985,"(206, 216, 330, 510, 515)",5
18C15A121101380,"(215, 330, 510, 515)",4
18C16A121101300,"(31, 111, 216, 228, 235, 330, 510, 515)",8
18C19A087600226,"(215, 226, 234, 306, 310, 330, 515)",7
18C21AB30400064,"(31, 111, 216, 228, 235, 330, 510, 515)",8
18C22A098100246,"(215, 226, 234, 306, 330, 510, 515)",7
18C24AB32000647,"(31, 111, 215, 310, 311, 313, 330, 510, 515)",9
18C26A122400044,"(31, 111, 216, 228, 235, 330, 510, 515)",8
19015 009 28478,"(12, 109, 215, 306, 331)",5
19019 015 03130,"(12, 109, 215, 301, 306, 330, 515)",7
19020 000 00010,"(12, 107, 110, 205, 215, 234, 302, 311, 313, 330, 331, 515)",12
19025 000 00000,"(12, 107, 215, 306, 310, 331, 515)",7
19026 353 00138,"(12, 109, 215, 301, 310, 331)",6
19032 000 00532,"(12, 109, 215, 331)",4
19033 020300520,"(215, 306, 310, 330, 510, 515)",6
19034 000 00203,"(215, 310, 331, 510)",4
19051 000 00000,"(109, 215, 306, 331, 510)",5
19057 000 00000,"(241,)",1
19058 000 00000,"(241,)",1
19059 000 00000,"(215, 306, 310, 331, 510)",5
19061 120 00249,"(241, 330, 515)",3
19062 000 00000,"(215, 234, 306, 310, 331, 510)",6
19068 830 00170,"(215, 225, 234, 306, 310, 330, 510, 515)",8
19073 000 00000,"(215, 225, 234, 301, 310, 331, 510, 515)",8
19080 706 00006,"(215, 310, 330, 510, 515)",5
19081 561 00210,"(215, 330, 515)",3
19083 221 00860,"(240, 515)",2
19084 000 00000,"(215, 306, 310, 330, 510, 515)",6
19086 009 16994,"(12, 109, 215, 301, 330, 515)",6
19091 000 00000,"(241, 330, 510, 515)",4
19092 067 00216,"(12, 109, 205, 215, 234, 300, 302, 310, 331)",9
19093 067 00217,"(12, 104, 109, 215, 302, 306, 310, 331)",8
19096 000 00000,"(12, 109, 215, 301, 306, 310, 331)",7
19098 000 00000,"(12, 109, 205, 215, 234, 300, 310, 331)",8
19105 001 11257,"(16, 104, 155, 210, 215, 220, 303, 314, 331, 521)",10
19106 001 08652,"(16, 104, 215, 225, 234, 301, 310, 331, 521)",9
19107 001 08652,"(12, 109, 215, 225, 234, 306, 331)",7
19108 001 02721,"(12, 109, 215, 301, 306, 310, 331, 521)",8
19109 001 02707,"(12, 109, 205, 215, 234, 300, 310, 331, 521)",9
19110 001 02707,"(12, 109, 116, 205, 215, 234, 300, 306, 310, 331, 521)",11
19111 000 00000,"(12, 109, 215, 301, 306, 310, 331, 510, 521)",9
19114 001 02704,"(12, 109, 205, 215, 234, 300, 303, 310, 331, 521)",10
19115 026 04260,"(38, 215, 331)",3
19118 206000003,"(215, 306, 310, 331, 510)",5
19119 000 00000,"(16, 30, 104, 110, 155, 205, 215, 234, 306, 310, 331, 510, 515)",13
19123 052 07663,"(12, 109, 215, 306, 310, 331)",6
19124 022 09536,"(215, 306, 310, 331, 510)",5
19126 001 25179,"(12, 109, 215, 306, 331)",5
19127 001 25352,"(215, 225, 234, 301, 306, 310, 331, 510, 521)",9
19129 020 08824,"(215, 306, 310, 330, 510, 515)",6
19130 020 08938,"(215, 306, 310, 330, 510, 515)",6
19135 070 00051,"(241, 330, 515)",3
19136 000 00000,"(241, 330, 510, 515)",4
19137 001 00100,"(215, 306, 310, 330, 510, 515)",6
19138 012 00021,"(30, 107, 202, 219, 330, 510, 515)",7
19139 003 00177,"(30, 107, 202, 219, 330, 510, 515)",7
19140 023 00058,"(30, 107, 202, 219, 330, 510, 515)",7
19141 032 00020,"(30, 107, 219, 306, 330, 510, 515)",7
19142 001 10154,"(12, 107, 205, 215, 220, 234, 303, 310, 331, 515)",10
19143 001 10154,"(12, 107, 205, 215, 220, 234, 303, 310, 331, 515, 521)",11
19144 001 10133,"(12, 104, 205, 215, 234, 301, 310, 331)",8
19145 001 10133,"(12, 104, 205, 215, 234, 301, 310, 331, 521)",9
19152 292 02020,"(240, 515)",2
19153 151 00966,"(215, 310, 331, 510)",4
19154 871 00003,"(16, 109, 215, 306, 310, 330, 510, 515)",8
19155 000 00000,"(215, 310, 330, 510, 515)",5
19156 002 08478,"(38, 215, 331, 521)",4
19158 60303 265,"(215, 310, 330, 510, 515)",5
19159 60304 275,"(215, 310, 330, 510, 515)",5
19160 60305 301,"(215, 310, 330, 510, 515)",5
19161 406 00015,"(12, 109, 215, 310, 331)",5
19178 162 07565,"(12, 109, 215, 220, 301, 310, 331)",7
19179 162 06080,"(12, 109, 205, 215, 220, 234, 300, 310, 331, 521)",10
19181 162 06278,"(12, 109, 215, 301, 331)",5
19183 162 06642,"(12, 109, 215, 301, 331)",5
19184 016 08707,"(12, 109, 215, 306, 331)",5
19185 000 00000,(),0
19186 000 00000,(),0
19187 000 00000,"(205, 215, 234, 306, 310, 331, 510)",7
19188 206500000,"(12, 109, 205, 215, 234, 302, 310, 331)",8
19189 143700090,"(12, 109, 215, 306, 331)",5
19190 201900045,"(54, 215, 306, 330, 510, 515)",6
19191 000 00000,"(12, 109, 215, 306, 331)",5
19192 000 00000,"(215, 306, 310, 330, 510, 515)",6
19193 093500190,"(12, 109, 210, 215, 301, 310, 331)",7
19194 093500200,"(12, 109, 215, 300, 314, 331)",6
19195 000 00000,"(205, 215, 220, 234, 306, 310, 331, 510)",8
19196 000 00000,"(215, 220, 310, 330, 510, 515)",6
19199 047 07083,"(38, 215)",2
19215 264 00085,"(215, 306, 310, 330, 510, 515)",6
19216 000 00220,"(215, 306, 310, 330, 510, 515)",6
19217 001 24258,"(12, 104, 215, 306, 310, 331)",6
19218 001 24214,"(12, 104, 215, 306, 310, 331, 521)",7
19219 001 24170,"(38, 215, 225, 234, 310, 331)",6
19220 001 24020,"(38, 215, 225, 234, 310, 331)",6
19222 001 24003,"(38, 215, 225, 234, 310, 331)",6
19224 001 23985,"(38, 215, 225, 234, 310, 331)",6
19226 001 23935,"(38, 215, 225, 234, 310, 331)",6
19227 001 23822,"(12, 104, 109, 205, 215, 300, 314, 331)",8
19229 006 25724,"(12, 109, 205, 215, 234, 300, 306, 310, 331)",9
19230 006 25724,"(12, 109, 205, 215, 234, 306, 310, 331)",8
19236 901 00001,"(31, 111, 117, 135, 156, 205, 210, 215, 234, 306, 310, 332)",12
19237 001 17999,"(12, 109, 205, 215, 234, 303, 310, 331, 521)",9
19254 320 03619,"(215, 310, 331, 510)",4
19255 320 03629,"(215, 310, 331, 510)",4
19263 110300010,"(215, 225, 234, 306, 310, 331, 510, 515)",8
19264 000 00000,"(215, 225, 234, 301, 310, 331, 510, 515)",8
19265 026 04258,"(30, 107, 215, 310, 330, 510, 515)",7
19267 025 02940,"(12, 107, 205, 215, 220, 234, 300, 306, 310, 331, 515)",11
19268 025 03667,"(215, 225, 234, 301, 306, 310, 331, 510)",8
19270 028F01293,"(215, 306, 310, 331, 510)",5
19271 039 01916,"(12, 104, 215, 301, 310, 331)",6
19273 508 03033,"(16, 104, 116, 143, 148, 154, 155, 205, 215, 233, 300, 301, 306, 310, 314, 330, 331, 515, 521)",19
19280 539F02169,"(215, 310, 330, 510, 515)",5
19281 026 04381,"(12, 107, 215, 302, 303, 310, 330, 515)",8
19282 001 02709,"(12, 109, 205, 215, 234, 300, 310, 331, 521)",9
19283 001 02709,"(12, 109, 205, 215, 234, 300, 310, 331, 521)",9
19284 001 02726,"(12, 109, 205, 215, 234, 300, 303, 310, 311, 331, 521)",11
19285 015 00115,"(12, 109, 215, 300, 302, 310, 331)",7
19286 000 00000,"(215, 306, 310, 331, 510)",5
19312 001 08640,"(12, 104, 215, 306, 310, 331, 521)",7
19313 001 08640,"(12, 104, 215, 301, 310, 331, 521)",7
19314 112 00529,"(215, 306, 310, 331, 510)",5
19315 112 00547,"(215, 306, 310, 330, 510, 515)",6
19579 000 00000,"(241,)",1
19580 339 00140,"(240, 515)",2
19581 804 01090,"(215, 310, 330, 510, 515)",5
19582 000 00000,"(241, 330, 515)",3
19583 000 00000,"(215, 306, 310, 331, 510)",5
19584 737 00082,"(220, 240, 515)",3
19585 706 00079,"(219, 225, 231, 306, 310, 330, 510, 515)",8
19592 047 05870,"(12, 16, 104, 109, 205, 215, 234, 300, 314, 330, 515)",11
19593 000 00005,"(16, 109, 215, 306, 310, 330, 510, 515)",8
19606 808 00338,"(215, 310, 331, 510)",4
19607 108900020,"(241, 330, 510, 515)",4
19608 896 00067,"(215, 310, 330, 510, 515)",5
19609 110 00008,"(30, 107, 202, 219, 330, 510, 515)",7
19611 000 00000,"(215, 310, 331, 510)",4
19612 000 00000,"(215, 310, 331, 510)",4
19613 190000724,"(12, 109, 205, 215, 234, 300, 306, 310, 331)",9
19614 915 00010,"(16, 104, 215, 306, 310, 330, 510, 515)",8
19615 915 00603,"(215, 306, 310, 330, 510, 515)",6
19619 022 00000,"(12, 109, 210, 215, 300, 310, 314, 331)",8
19624 310 00957,"(215, 310, 330, 510, 515)",5
19625 741 00105,"(12, 109, 215, 310, 331)",5
19626 001 07172,"(12, 109, 205, 215, 234, 300, 310, 331, 521)",9
19627 001 07172,"(12, 109, 205, 215, 234, 300, 310, 331)",8
19630 724 00113,"(12, 109, 205, 215, 234, 300, 310, 331)",8
19631 000 00000,"(215, 306, 310, 331, 510)",5
19632 872 00035,"(215, 306, 310, 330, 510, 515)",6
19633 000 00000,"(215, 225, 234, 306, 310, 331, 510)",7
19634 761 00370,"(310, 330, 510, 515)",4
19635 108 00053,"(215, 225, 310, 330, 510, 515)",6
19636 108 00043,"(215, 225, 310, 330, 510, 515)",6
19637 339 00050,"(240, 515)",2
19638 000 00000,"(241, 510)",2
19640 752100087,"(109, 215, 306, 331, 510)",5
19641 000 00000,"(12, 107, 215, 306, 510, 515)",6
19642 000 00000,"(215, 306, 310, 331, 510)",5
19643 000 00000,"(16, 104, 109, 115, 154, 205, 215, 234, 300, 306, 310, 331)",12
19649 026 05779,"(215, 301, 310, 330, 510, 515)",6
19650 008 02031,"(16, 104, 205, 215, 234, 306, 310, 331, 510)",9
19656 000 00000,"(12, 16, 105, 109, 205, 215, 234, 303, 310, 331)",10
19660 001C30123,"(12, 109, 205, 210, 215, 234, 310, 314, 331)",9
19663 000 00016,"(16, 104, 205, 215, 234, 300, 315, 331)",8
19665 009 00096,"(215, 310, 330, 510, 515)",5
19666 047 00399,"(16, 104, 215, 306, 310, 331, 510)",7
19667 081 00105,"(16, 104, 205, 215, 233, 234, 300, 303, 310, 311, 331)",11
19672 000 00000,"(215, 330, 510, 515)",4
19673 000 00000,"(215, 220, 310, 330, 510, 515)",6
19674 888 00000,"(215, 306, 310, 330, 510, 515)",6
19675 888 00000,"(215, 306, 310, 330, 510, 515)",6
19676 512 00270,"(12, 107, 215, 330, 515)",5
19677 000 00000,"(215, 306, 310, 330, 510, 515)",6
19678 000 00000,"(215, 310, 331, 510)",4
19680 144000013,"(12, 109, 215, 301, 310, 331)",6
19681 006 25913,"(12, 38, 109, 205, 218, 234, 300, 301, 310, 331, 510)",11
19682 006 25913,"(12, 38, 109, 205, 218, 234, 301, 306, 310, 331, 521)",11
19683 006 25889,"(12, 38, 109, 205, 218, 234, 301, 306, 310, 331, 510)",11
19684 006 25889,"(12, 38, 109, 205, 215, 218, 234, 300, 301, 310, 331)",11
19685 000 00000,"(215, 310, 330, 510, 515)",5
19687 360100041,"(219, 225, 306, 310, 330, 510, 515)",7
19697 612 01521,"(215, 310, 330, 510, 515)",5
19698 000 00000,"(31, 107, 113, 152, 205, 235, 330, 515)",8
19700 000 00000,"(104, 215, 306, 310, 330, 510, 515)",7
19701 000 00000,"(241, 330)",2
19707 037 04087,"(16, 104, 215, 306, 310, 331, 510)",7
19708 025 03428,"(12, 109, 210, 215, 301, 331)",6
19709 025 03210,"(12, 109, 205, 215, 234, 300, 310, 331)",8
19712 006 31746,"(12, 107, 205, 215, 234, 303, 315, 331, 515)",9
19713 006 31744,"(12, 107, 205, 215, 234, 303, 315, 331, 515)",9
19723 026 04604,"(215, 301, 310, 330, 510, 515)",6
19725 047 06855,"(215,)",1
19727 272 03494,"(215, 306, 310, 331, 510)",5
19730 041800175,"(109, 215, 306, 330, 510, 515)",6
19732 000 00001,"(104, 205, 215, 306, 314, 331)",6
19738 001 12057,"(16, 104, 155, 205, 215, 234, 303, 314, 331)",9
19739 001 12057,"(16, 104, 155, 205, 215, 234, 303, 314, 331)",9
19740 001 12049,"(12, 109, 215, 302, 310, 331)",6
19741 001 12049,"(12, 109, 215, 302, 310, 331)",6
19745 002 08368,"(205, 215, 234, 302, 306, 310, 331)",7
19748 000 00000,"(12, 104, 215, 225, 234, 300, 306, 310, 331)",9
19749 000 00070,"(12, 109, 215, 301, 331)",5
19758 000 00000,"(16, 110, 216, 225, 330)",5
19769 004 24398,"(12, 109, 215, 310, 330, 331, 515)",7
19778 000 00610,"(104, 215, 306, 310, 330, 515)",6
19779 817 00009,"(16, 104, 215, 310, 330, 510, 515)",7
19780 557 00271,"(215, 306, 310, 330, 510, 515)",6
19782 019 04675,"(215, 306, 310, 331, 510)",5
19786 201900020,"(215, 306, 310, 331, 510)",5
19787 000 00000,"(215, 310, 331, 510)",4
19789 021 04386,"(12, 107, 205, 215, 234, 303, 310, 330, 515)",9
19803 111900025,"(215, 306, 310, 330, 510)",5
19820 037 01362,"(12, 109, 155, 215, 301, 331, 521)",7
19822 293 00099,"(215, 306, 310, 330, 510, 515)",6
19823 004 26311,"(215, 234, 306, 310, 331, 510)",6
19824 030 01572,"(16, 104, 155, 205, 215, 234, 300, 314, 331, 515)",10
19825 091 05743,"(12, 109, 210, 215, 302, 310, 331)",7
19836 012 02075,"(109, 215, 306, 310, 331, 510)",6
19837 000 00000,"(205, 215, 234, 306, 310, 331, 510)",7
19838 000 00000,"(205, 215, 234, 306, 310, 331, 510)",7
19839 000 00000,"(215, 306, 310, 331, 510)",5
19841 212 00010,"(30, 107, 215, 310, 330, 510, 515)",7
19843 450 00800,"(215, 306, 310, 330, 510, 515)",6
19844 767 00194,"(219, 225, 306, 310, 330, 510, 515)",7
19848 001 17540,"(12, 109, 205, 215, 234, 300, 310, 331)",8
19849 001 17560,"(12, 109, 205, 215, 234, 306, 331)",7
19850 411 00068,"(12, 109, 205, 215, 234, 300, 310, 331)",8
19851 001 17560,"(12, 109, 205, 215, 234, 306, 331)",7
19852 040200008,"(215, 301, 310, 330, 510, 515)",6
19853 105600010,"(109, 215, 306, 330, 510, 515)",6
19854 122 00053,"(241,)",1
19857 135 00014,"(241, 330, 515)",3
19858 135 00028,"(210, 215, 306, 330, 510, 515)",6
19859 000 00000,"(215, 306, 310, 331, 510)",5
19860 004 00000,"(215, 306, 310, 330, 510, 515)",6
19862 000 00250,"(215, 225, 234, 306, 310, 330, 510, 515)",8
19865 006 25617,"(12, 107, 205, 215, 234, 300, 303, 310, 331, 515, 521)",11
19866 006 25618,"(12, 107, 205, 215, 234, 300, 303, 306, 310, 331, 515, 521)",12
19871 774 00393,"(12, 109, 215, 330, 510, 515)",6
19872 102 04545,"(12, 109, 215, 301, 302, 310, 331)",7
19873 102 04563,"(12, 109, 215, 301, 302, 310, 331)",7
19874 102 04863,"(104, 215, 301, 310, 331, 510)",6
19878 000 00000,"(12, 109, 215, 301, 310, 331)",6
19879 000 00000,"(12, 109, 215, 310, 331)",5
19880 000 00000,"(215, 310, 330, 510, 515)",5
19881 000 00000,"(16, 109, 215, 306, 310, 331, 510)",7
19882 188200022,"(16, 109, 205, 215, 234, 310, 331, 510)",8
19883 000 00000,"(12, 215, 225, 234, 301, 310, 331, 510, 515)",9
19884 000 00000,"(12, 109, 215, 301, 310, 331)",6
19885 049 00653,"(215, 310, 330, 515)",4
19888 708 00031,"(331,)",1
19889 041 01797,"(12, 109, 215, 306, 330, 331, 515)",7
19893 005 01703,"(12, 104, 210, 215, 306, 310, 331)",7
19896 140 00549,"(12, 109, 215, 301, 302, 310, 331)",7
19903 007 10562,"(215, 306, 310, 331, 510)",5
19904 007 10662,"(215, 306, 310, 331, 510)",5
19905 007 16764,"(104, 215, 225, 234, 306, 310, 331, 510)",8
19906 007 17457,"(104, 215, 225, 234, 306, 310, 331, 510)",8
19907 007 18581,"(215, 306, 310, 331, 510)",5
19908 007 19084,"(12, 109, 205, 215, 234, 306, 310, 331, 521)",9
19909 007 19197,"(12, 109, 205, 215, 220, 234, 310, 331, 521)",9
19910 007 19513,"(104, 215, 225, 234, 306, 310, 331, 510)",8
19911 007 20558,"(15, 104, 215, 225, 234, 306, 310, 331, 510)",9
19912 007 20583,"(215, 306, 310, 331, 510)",5
19913 310 00020,"(12, 109, 215, 302, 306, 331)",6
19914 007 20842,"(215, 306, 310, 331, 510)",5
19915 007 21342,"(12, 109, 215, 306, 331)",5
19916 007 21446,"(104, 215, 306, 310, 331, 510)",6
19917 007 21678,"(215, 306, 310, 331, 510)",5
19918 007 24429,"(12, 109, 215, 306, 331)",5
19919 007 24661,"(12, 109, 215, 225, 234, 306, 310, 331, 521)",9
19920 085700422,"(215, 310, 331, 510)",4
19921 096700000,"(215, 306, 310, 331, 510)",5
19922 C12800244,"(215, 306, 310, 330, 510, 515)",6
19923 000 00003,"(12, 109, 215, 306, 331)",5
19924 000 00016,"(12, 107, 215, 300, 310, 331, 515)",7
19925 000 00000,"(215, 310, 330, 510, 515)",5
19926 000 00000,"(215, 310, 330, 515)",4
19927 004 26565,"(215, 310, 330, 331, 515)",5
19929 000 00012,"(215, 310, 331)",3
19933 073 02562,"(16, 104, 215, 306, 310, 330, 510, 515)",8
199390000000010,"(215, 310, 331, 510)",4
19940 004 27473,"(12, 107, 205, 215, 234, 310, 331, 510, 515)",9
19941 004 27574,"(12, 109, 205, 215, 234, 300, 310, 331)",8
19951 005 00025,"(12, 107, 215, 306, 331, 515)",6
19952 534000310,"(215, 306, 310, 331, 510)",5
19957 026 03324,"(12, 109, 215, 310, 331)",5
19958 026 03409,"(12, 104, 215, 306, 310, 331)",6
19959 053 11657,"(12, 109, 215, 301, 331)",5
19960 004 10544,"(215, 306, 310, 331)",4
19961 004 10899,"(215, 306, 310, 331)",4
19962 004 11394,"(12, 104, 155, 215, 310, 331)",6
19964 004 18316,"(12, 109, 215, 306, 310, 331)",6
19965 004 20209,"(12, 109, 215, 306, 310, 331)",6
19969 000000000,"(12, 109, 215, 300, 301, 310, 331)",7
19970 001700885,"(109, 210, 215, 225, 306, 310, 330, 510, 515)",9
19972 094200180,"(215, 225, 234, 306, 310, 330, 510, 515)",8
19973 068700014,"(109, 215, 302, 310, 331, 510)",6
19974 907000231,"(12, 109, 215, 302, 310, 331, 510)",7
19975 001800011,"(104, 210, 215, 306, 310, 330, 510, 515)",8
19976 000900711,"(109, 210, 215, 306, 310, 330, 510, 515)",8
19978 000700011,"(109, 210, 215, 306, 310, 331, 510)",7
19983 000 00100,"(215, 310, 331)",3
19987 118600060,"(219, 225, 310, 330, 510, 515)",6
19B03 000 00000,"(12, 107, 210, 215, 306, 311, 313, 330, 510, 515)",10
19B05A    00001,"(219, 225, 310, 330, 515)",5
19B07A000000000,"(219, 225, 310, 330, 515)",5
19B11 000000140,"(31, 107, 117, 152, 215, 310, 332, 515)",8
19B12 000000015,"(12, 107, 205, 215, 310, 330, 515)",7
19C004000800631,"(12, 107, 205, 215, 330, 510, 515)",7
19C005000800648,"(12, 107, 215, 306, 330, 510, 515)",7
19C0080019  246,"(215, 310, 330, 510, 515)",5
19C015001901646,"(12, 107, 215, 220, 225, 306, 311, 330, 510, 515)",10
19C017  17 1325,"(205, 215, 234, 306, 310, 330, 510, 515)",8
19C018  82  001,"(12, 31, 107, 117, 135, 156, 202, 205, 210, 215, 219, 220, 231, 304, 306, 311, 332, 510, 515)",19
19C019008200018,"(12, 107, 215, 331, 510, 515)",6
19C020008200084,"(12, 107, 205, 215, 220, 234, 301, 311, 330, 510, 515)",11
19C021008200160,"(12, 107, 205, 215, 234, 306, 311, 313, 330, 510, 515)",11
19C024001A00069,"(31, 107, 111, 206, 210, 216, 235, 330, 510, 515)",10
19C025  17  064,"(12, 107, 210, 215, 225, 306, 313, 330, 510, 515)",10
19C026  17  319,"(12, 107, 215, 331, 510, 515)",6
19C030001500155,"(12, 107, 215, 306, 310, 330, 510, 515)",8
19C034001501223,"(12, 107, 215, 306, 330, 510, 515)",7
19C035  18  076,"(12, 107, 205, 215, 220, 234, 306, 310, 311, 313, 330, 331, 515)",13
19C038001800829,"(12, 107, 215, 306, 330, 510, 515)",7
19C039001800882,"(12, 107, 205, 215, 220, 234, 306, 313, 330, 510, 515)",11
19C040001800920,"(12, 107, 205, 215, 220, 234, 306, 313, 330, 510, 515)",11
19C042  18 1060,"(12, 107, 205, 215, 220, 234, 306, 313, 330, 510, 515)",11
19C043  18 1071,"(12, 107, 205, 215, 220, 225, 234, 306, 313, 330, 510, 515)",12
19C046003400122,"(28, 107, 202, 215, 219, 225, 330, 515)",8
19C047003400162,"(28, 107, 152, 210, 215, 220, 311, 330, 515)",9
19C048003400241,"(12, 107, 205, 215, 220, 234, 311, 330, 510, 515)",10
19C049003400375,"(12, 107, 205, 215, 220, 234, 311, 313, 330, 510, 515)",11
19C050006200002,"(12, 107, 202, 215, 225, 231, 306, 330, 510, 515)",10
19C051006100009,"(12, 107, 215, 225, 306, 313, 330, 510, 515)",9
19C052002500206,"(12, 107, 210, 215, 220, 306, 311, 313, 330, 510, 515)",11
19C053   7  027,"(12, 107, 215, 330, 510, 515)",6
19C054   7  030,"(12, 107, 210, 215, 313, 330, 510, 515)",8
19C056  54  581,"(29, 107, 202, 215, 219, 220, 225, 306, 313, 330, 510, 515)",12
19C057005400005,"(12, 107, 205, 215, 220, 234, 306, 313, 330, 510, 515)",11
19C059012000244,"(12, 107, 210, 215, 306, 311, 330, 510, 515)",9
19C060000700405,"(12, 107, 215, 306, 330, 510, 515)",7
19C061000700436,"(12, 107, 210, 215, 220, 225, 306, 311, 330, 510, 515)",11
19C062000700515,"(12, 107, 210, 215, 220, 306, 311, 313, 330, 510, 515)",11
19C066005000130,"(12, 107, 210, 215, 225, 306, 311, 330, 510, 515)",10
19C068005000008,"(12, 107, 215, 225, 234, 306, 311, 313, 330, 510, 515)",11
19C069  22  335,"(15, 109, 205, 215, 234, 306, 331, 510)",8
19C070002200424,"(12, 107, 215, 225, 231, 306, 310, 313, 330, 510, 515)",11
19C071002200505,"(12, 107, 215, 225, 231, 306, 310, 330, 510, 515)",10
19C072002200567,"(12, 107, 205, 215, 220, 225, 234, 306, 310, 311, 330, 510, 515)",13
19C073002200679,"(12, 107, 215, 225, 231, 306, 310, 313, 330, 510, 515)",11
19C074002200764,"(12, 107, 215, 225, 231, 306, 310, 313, 330, 510, 515)",11
19C075002200876,"(12, 107, 202, 210, 215, 231, 306, 310, 330, 510, 515)",11
19C077007900069,"(12, 107, 215, 330, 510, 515)",6
19C079013600003,"(12, 107, 215, 330, 510, 515)",6
19C080013500037,"(12, 107, 215, 330, 510, 515)",6
19C081  16  035,"(12, 107, 210, 215, 311, 331, 510, 515)",8
19C082008300107,"(12, 107, 215, 225, 330, 510, 515)",7
19C083008300182,"(12, 107, 215, 220, 330, 510, 515)",7
19C084 149  005,"(215, 306, 310, 330, 510, 515)",6
19C088017600281,"(12, 107, 215, 225, 234, 313, 330, 510, 515)",9
19C089009200001,"(12, 107, 215, 330, 510, 515)",6
19C092  95  008,"(16, 109, 210, 215, 306, 310, 331, 510)",8
19C093009500030,"(12, 107, 215, 313, 330, 510, 515)",7
19C094009500067,"(12, 107, 215, 306, 311, 330, 510, 515)",8
19C095  37 1420,"(12, 107, 215, 220, 306, 330, 510, 515)",8
19C098  37 2091,"(12, 107, 225, 306, 313, 330, 515)",7
19C099  37 2123,"(12, 107, 225, 306, 313, 330, 510, 515)",8
19C100006500100,"(12, 107, 215, 306, 330, 515)",6
19C101017800113,"(12, 107, 215, 306, 310, 331, 515)",7
19C102006800006,"(12, 107, 205, 215, 225, 306, 311, 313, 330, 510, 515)",11
19C104002400712,"(12, 107, 205, 215, 220, 225, 234, 306, 311, 330, 510, 515)",12
19C105002400550,"(12, 107, 210, 215, 225, 306, 311, 330, 510, 515)",10
19C107  71  068,"(12, 107, 205, 215, 225, 234, 306, 313, 330, 510, 515)",11
19C108006300009,"(12, 107, 215, 225, 306, 330, 510, 515)",8
19C109006300014,"(12, 107, 210, 215, 306, 311, 313, 330, 510, 515)",10
19C110002900059,"(12, 107, 210, 215, 306, 311, 313, 330, 510, 515)",10
19C111007400266,"(12, 107, 210, 215, 311, 330, 510, 515)",8
19C114007500200,"(12, 107, 210, 215, 225, 306, 311, 330, 510, 515)",10
19C115007600064,"(30, 107, 205, 215, 220, 234, 313, 330, 510, 515)",10
19C132020001202,"(12, 107, 210, 215, 225, 306, 311, 313, 330, 510, 515)",11
19C133020001215,"(12, 107, 215, 330, 510, 515)",6
19C140020001469,"(12, 107, 210, 215, 306, 311, 313, 330, 510, 515)",10
19C143 200 1647,"(12, 107, 205, 215, 220, 234, 301, 311, 313, 330, 510, 515)",12
19C144003200002,"(12, 107, 210, 215, 301, 311, 313, 330, 510, 515)",10
19C147003100036,"(12, 107, 205, 215, 220, 234, 301, 311, 330, 510, 515)",11
19C149014800001,"(210, 215, 306, 310, 330, 510, 515)",7
19C152  16  284,"(120, 152, 162, 215, 311, 330, 510, 515)",8
19C159  16 1157,"(12, 107, 215, 225, 306, 313, 330, 510, 515)",9
19C163  21  384,"(215, 225, 306, 310, 330, 510, 515)",7
19C169003500035,"(12, 107, 210, 215, 301, 311, 330, 515)",8
19C170003500025,"(12, 109, 210, 215, 310)",5
19C173006600063,"(31, 107, 111, 206, 216, 220, 228, 235, 330, 510, 515)",11
19C175002300369,"(12, 107, 210, 215, 225, 306, 311, 330, 510, 515)",10
19C176002300743,"(12, 107, 215, 225, 330, 510, 515)",7
19C179007700006,"(12, 107, 210, 215, 225, 306, 311, 330, 510, 515)",10
19C183 115  172,"(12, 107, 205, 215, 220, 234, 306, 330, 510, 515)",10
19C185008000185,"(12, 107, 210, 215, 225, 306, 313, 330, 510, 515)",10
19C191  47  446,"(12, 107, 205, 215, 220, 225, 234, 306, 310, 311, 313, 330, 510, 515)",14
19C192014600080,"(215, 306, 310, 330, 510, 515)",6
19C196  47  639,"(12, 107, 215, 225, 234, 306, 311, 330, 510, 515)",10
19C198  47  364,"(12, 107, 205, 215, 220, 225, 234, 302, 306, 311, 313, 330, 510, 515)",14
19C199 107  141,"(241, 330, 515)",3
19C200  47  183,"(12, 107, 120, 202, 205, 215, 220, 234, 302, 306, 311, 313, 330, 510, 515)",15
19C204011000004,"(12, 107, 210, 215, 225, 306, 311, 313, 330, 510, 515)",11
19C207 127  044,"(215, 225, 310, 330, 510, 515)",6
19C208004300271,"(12, 107, 215, 306, 330, 510, 515)",7
19C209004300507,"(12, 107, 215, 306, 330, 510, 515)",7
19C211004300141,"(12, 107, 202, 215, 228, 231, 306, 311, 313, 330, 510, 515)",12
19C214003900456,"(12, 107, 110, 215, 306, 330, 510, 515)",8
19C215003900352,"(12, 28, 107, 113, 152, 205, 210, 215, 220, 225, 231, 234, 311, 313, 330, 510, 515)",17
