STRUCNUM,Common_EN_List,Number_of_common_elements
16544 000 00000,"(38, 215, 330, 510, 515)",5
16553 002C00280,"(15, 104, 155, 205, 215, 234, 300, 303, 306, 314, 331, 521)",12
16561 004 12360,"(38, 215, 306, 310, 331, 510)",6
16569 001C26020,"(38, 205, 215, 234, 306, 310, 330, 510, 515)",9
16571 071 00162,"(38, 215, 330, 515)",4
16595 204000348,"(38, 215, 306, 310, 330, 510, 515)",7
16604 D42 00342,"(38, 215, 220, 306, 310, 330, 510, 515)",8
16605 054900050,"(38, 215, 306, 310, 330, 510, 515)",7
16606 035 05290,"(12, 109, 205, 215, 234, 301, 310, 331, 521)",9
16607 035 05305,"(12, 109, 215, 301, 306, 331)",6
16610 057500001,"(38, 215, 306, 310, 330, 510, 515)",7
16611 002 16576,"(12, 109, 215, 302, 310, 330, 510, 515)",8
16612 002 16576,"(12, 109, 215, 302, 306, 310, 330, 515)",8
16619 822 00002,"(38, 210, 215, 306, 310, 330, 510, 515)",8
16627 000 01262,"(12, 109, 205, 215, 220, 234, 306, 310, 331)",9
16637 047C06935,"(38, 215)",2
16649 062 04628,"(38, 215, 306, 310, 330, 510, 515)",7
16660 000000000,"(12, 38, 107, 109, 205, 210, 215, 231, 234, 300, 303, 305, 306, 310, 313, 314, 330, 331, 515)",19
16673 009 02523,"(15, 104, 215, 302, 306, 315, 330, 515)",8
16683 507 01565,"(38, 215, 225, 310, 330, 515)",6
1668400F0600290,"(38, 215, 306, 310, 330, 510, 515)",7
1668600D2700675,"(38, 215, 306, 310, 330, 510, 515)",7
16687 100000398,"(12, 109, 215, 306, 310, 330, 510, 515)",8
16688 573 00004,"(38, 215, 306, 310, 330, 510, 515)",7
16689 015400015,"(16, 109, 215, 330, 515)",5
16690 102000073,"(38, 219, 225, 310, 330, 515)",6
16691 C74700014,"(38, 215, 310, 330, 515)",5
16693 106200005,"(15, 109, 215, 306, 330, 510, 515)",7
16712 004 15133,"(38, 215, 306, 310, 331, 510)",6
16716 685 00270,"(38, 215, 310, 330, 510, 515)",6
16720 005 11667,"(38, 215, 306, 330, 510, 515)",6
16724 000 00000,"(12, 109, 205, 215, 220, 225, 234, 300, 310, 330, 515)",11
16734 000000000,"(38, 210, 215, 225, 306, 310, 330, 510, 515)",9
16741 127 00355,"(38, 215, 306, 310, 330, 510, 515)",7
16744 009 00040,"(12, 109, 215, 306, 310, 331)",6
16745 061500217,"(38, 210, 215, 306, 310, 330, 515)",7
16752 334 00655,"(38, 215, 306, 310, 330, 510, 515)",7
16753 501 03072,"(12, 38, 107, 205, 215, 234, 300, 310, 313, 314, 330, 510, 515)",13
16757 102700122,"(38, 215, 310, 330, 515)",5
16759 001 00025,"(38, 215, 310, 330, 515)",5
16762 003200243,"(12, 109, 215, 304, 312, 330, 515)",7
16763 032000100,"(38, 215, 306, 310, 330, 510, 515)",7
16765 082300057,"(38, 215, 220, 306, 330, 510, 515)",7
16767 145 00025,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
16775 111 00088,"(38, 215, 306, 310, 330, 510, 515)",7
16779 113 00317,"(38, 215, 306, 310, 330, 510, 515)",7
16780 210 00777,"(12, 109, 205, 215, 234, 306, 310, 331, 521)",9
16792 003 00005,"(12, 38, 109, 205, 215, 234, 300, 305, 310, 330, 515)",11
16798 C52100023,"(38, 215, 306, 310, 330, 510, 515)",7
16801 C57500007,"(38, 219, 310, 330, 515)",5
16810 012 03071,"(12, 109, 205, 215, 234, 306, 310, 331, 521)",9
16811 012 03186,"(12, 109, 205, 215, 234, 306, 310, 331, 521)",9
16812E072 00645,"(16, 104, 105, 161, 205, 215, 234, 300, 314, 331, 510, 515)",12
16812M072 00655,"(16, 105, 205, 215, 234, 300, 304, 314, 331, 510)",10
16812W072 00645,"(16, 104, 105, 161, 205, 215, 234, 300, 314, 331, 510, 515)",12
16813 072C00647,"(16, 104, 215, 306, 310, 331, 510)",7
16814 072C00650,"(38, 215, 306, 331, 510)",5
16828 819 00480,"(38, 215, 304, 330, 515)",5
16829 096100216,"(38, 215, 310, 330, 515)",5
16830 055 00300,"(38, 215, 310, 330, 515)",5
16831 011200025,"(16, 109, 215, 310, 330, 515)",6
16832 000000000,"(16, 109, 215, 310, 330, 515)",6
16837 103900001,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
16838 103900029,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
16842 777 00152,"(38, 215, 310, 331)",4
16844 025Y00067,"(16, 104, 205, 215, 234, 300, 314, 330, 515, 521)",10
16845 025Y00015,"(12, 109, 205, 215, 225, 234, 306, 310, 331, 521)",10
16852 372 00183,"(38, 210, 215, 306, 310, 331, 510)",7
16853 372 00193,"(38, 215, 306, 310, 331, 510)",6
16858 073 04716,"(16, 110, 205, 306, 330, 510, 515)",7
16859 073 05073,"(16, 110, 205, 306, 330, 510, 515)",7
16860 073 05545,"(12, 16, 38, 109, 110, 205, 210, 215, 234, 306, 311, 313, 330, 510, 515)",15
16861 073 05683,"(16, 110, 215, 228, 235, 306, 310, 330, 510, 515)",10
16862 073 05751,"(12, 109, 215, 306, 310, 330, 510, 515)",8
16863 000 00036,"(38, 215, 306, 310, 330, 510, 515)",7
16864A100000430,"(16, 104, 215, 306, 310, 331, 510)",7
16873 033 05615,"(12, 109, 205, 215, 220, 234, 300, 310, 315, 331, 515, 521)",12
16874 033 05596,"(12, 109, 205, 215, 234, 300, 310, 315, 331, 521)",10
16875 01WR08409,"(12, 109, 205, 215, 220, 234, 300, 306, 310, 331, 521)",11
16883 072 00451,"(16, 110, 215, 306, 330, 510, 515)",7
16906 000000000,"(38, 215, 306, 310, 330, 510, 515)",7
16926 01E 00440,"(12, 109, 205, 215, 234, 306, 310, 331)",8
16932 000517010,"(38, 210, 215, 306, 310, 330, 510, 515)",8
16933 000000022,"(38, 215, 306, 310, 330, 510, 515)",7
16955 001C28940,"(12, 16, 38, 105, 109, 205, 215, 225, 234, 300, 306, 310, 331, 515, 521)",15
16956 001C28941,"(16, 105, 205, 215, 225, 234, 306, 331, 521)",9
16966 047 06567,"(12, 15, 16, 104, 109, 205, 215, 234, 302, 306, 311, 330, 331, 515)",14
16967 001 25152,"(16, 104, 205, 215, 234, 306, 330, 331, 515)",9
16970 C52900169,"(38, 215, 310, 330, 515)",5
16C01 579 05035,"(31, 107, 113, 120, 147, 148, 152, 161, 162, 202, 205, 210, 215, 220, 234, 305, 310, 311, 313, 330, 510, 515)",22
16C02 579000548,"(15, 109, 205, 215, 220, 227, 234, 306, 310, 332, 510)",11
16C03 579 00391,"(31, 111, 216, 228, 306, 330, 510, 515)",8
16C06 579 05355,"(31, 107, 117, 120, 147, 148, 152, 161, 162, 202, 205, 215, 220, 234, 305, 311, 313, 330, 510, 515)",20
16C91 124 00534,"(31, 111, 215, 216, 306, 330, 510, 515)",8
17015 001C25179,"(12, 38, 109, 210, 215, 301, 331)",7
17027 033 03231,"(240, 515)",2
17028 033 03254,"(240, 515)",2
17033 020100500,"(38, 215, 306, 310, 330, 510, 515)",7
17053 033R05596,"(12, 109, 205, 215, 234, 300, 310, 331, 521)",9
17064 001C29705,"(15, 104, 155, 205, 215, 234, 300, 314, 331, 515, 521)",11
17076 064C01628,"(38, 215, 306, 331)",4
17077 064C01617,"(38, 215, 306, 331)",4
17082 01EC00450,"(16, 105, 215, 306, 331)",5
17107 001C30731,"(38, 215, 306, 310, 330, 331, 510, 515)",8
17108 001C30734,"(38, 215, 306, 310, 331, 510)",6
17118 064C01432,"(15, 104, 205, 215, 234, 300, 314, 331, 521)",9
17121 000 00000,"(12, 109, 205, 215, 234, 306, 310, 330, 331, 515)",10
17123 000  B-39,"(12, 109, 215, 306, 310, 331, 510)",7
17124 000000000,"(16, 105, 215, 306, 331)",5
17140 035 01045,"(38, 215, 225, 234, 306, 310, 330, 331, 510, 515)",10
17152 000000005,"(12, 38, 110, 215, 306, 310, 331, 510)",8
17157 036 01550,"(16, 104, 215, 306, 310, 330, 510, 515)",8
17158 036 01566,"(16, 104, 215, 306, 310, 330, 510, 515)",8
17165 035 01059,"(38, 215, 225, 234, 306, 310, 330, 331, 510, 515)",10
17176 001C29721,"(16, 105, 155, 205, 215, 220, 234, 300, 303, 314, 331, 515, 521)",13
17191 001 24112,"(38, 205, 215, 234, 306, 331, 510)",7
17192 006C37145,"(38, 215, 306, 310, 330, 510, 515)",7
17198 210 00780,"(38, 215)",2
17199 000  B-49,"(12, 109, 205, 215, 234, 306, 312, 330, 515)",9
17202 372 01828,"(38, 215, 225, 306, 310, 330, 510, 515)",8
17208 002 01443,"(15, 104, 155, 205, 215, 234, 302, 306, 310, 330, 515)",11
17211 000000000,"(12, 109, 215, 306, 330, 515)",6
17212 002 01405,"(15, 104, 155, 215, 300, 306, 310, 330, 331)",9
17213 002 01522,"(15, 104, 215, 302, 331)",5
17217 036 00883,"(241,)",1
17225 001 25582,"(12, 104, 210, 215, 306, 310, 331, 521)",8
17226 001 25556,"(12, 104, 210, 215, 306, 310, 331, 521)",8
17235 001 12652,"(12, 109, 205, 215, 233, 300, 310, 330, 515, 521)",10
17251 017 01509,"(12, 109, 215, 225, 234, 306, 310, 331, 510)",9
17258 064C01423,"(16, 104, 155, 205, 215, 234, 300, 306, 314, 331, 521)",11
17281 004 14345,"(15, 104, 215, 301, 310, 330, 510, 515, 521)",9
17302 000 00000,"(38, 215)",2
17303 000 00000,"(38, 215)",2
17304 000 00000,"(38, 215)",2
17305 047 06895,"(38, 215)",2
17307A047C06954,"(38, 215)",2
17307B144C00028,"(38, 215, 306)",3
17311 066500391,"(38, 219, 306, 310, 330, 510, 515)",7
17318 001 24066,"(16, 104, 155, 205, 215, 234, 303, 314, 331, 515)",10
17319 001 25654,"(12, 104, 215, 302, 331, 521)",6
17320 001 25628,"(12, 104, 205, 215, 234, 302, 306, 331, 521)",9
17323 004 13496,"(15, 104, 154, 215, 306, 312, 330, 510, 515)",9
17324 004 13533,"(38, 215, 306, 310, 330, 510, 515)",7
17324N004 13750,"(12, 104, 215, 306, 310, 330, 510, 515, 521)",9
17325 004 13545,"(15, 104, 215, 300, 302, 314, 330, 510, 515, 521)",10
17327 004 13620,"(15, 104, 155, 215, 300, 301, 306, 314, 330, 510, 515)",11
17328 004 13643,"(15, 104, 155, 215, 300, 301, 306, 314, 330, 510, 515)",11
17329 004 13685,"(15, 104, 155, 205, 215, 233, 300, 314, 330, 331, 510, 515)",12
17330 004 13710,"(15, 104, 155, 215, 300, 301, 306, 314, 330, 510, 515)",11
17331 004 13728,"(15, 104, 155, 215, 300, 301, 306, 314, 330, 510, 515)",11
17332 004 13814,"(12, 104, 215, 300, 301, 314, 330, 510, 515, 521)",10
17333 004 13948,"(245,)",1
17334 066 01643,"(38, 215, 306, 310, 331, 510)",6
17336 456 01567,"(240, 515)",2
17342 001 24042,"(16, 110, 205, 215, 225, 234, 306, 331, 510)",9
17346 012 05503,"(38, 215, 306, 310, 330, 510, 515)",7
17347 007 12159,"(38, 215, 306, 310, 330, 510, 515)",7
17350 016F04141,"(31, 111, 117, 135, 156, 205, 206, 216, 220, 235, 306, 310, 330, 510, 515)",15
17351 001 24135,"(16, 110, 205, 215, 225, 234, 306, 331, 521)",9
17352 001 24112,"(16, 110, 205, 215, 225, 234, 306, 331, 510)",9
17355 161 01541,"(15, 104, 155, 205, 215, 234, 306, 310, 330, 515)",10
17356 002 01597,"(38, 215, 301, 306, 310, 330, 510, 515)",8
17362 021 01619,"(16, 105, 215, 302, 330, 515, 521)",7
17363 272 00614,"(12, 107, 205, 215, 234, 300, 306, 310, 330, 331, 515, 521)",12
17365 002 01597,"(15, 104, 205, 215, 234, 300, 306, 330, 515, 521)",10
17368 047C07219,"(15, 104, 215, 306, 311, 331, 510, 521)",8
17370 009 06499,"(38, 215, 302, 310, 331, 510)",6
17371 009 06512,"(38, 215, 225, 234, 302, 310, 331, 510, 515)",9
17374 C31625A80,"(38, 215, 306, 310, 330, 510, 515)",7
17377 C30725E17,"(38, 215, 306, 310, 330, 510, 515)",7
17381 116 61C35,"(16, 104, 215, 306, 310, 330, 510, 515)",8
17382 163 02736,"(38, 205, 215, 220, 234, 306, 331)",7
17384 059400000,"(38, 215, 306, 310, 330, 510, 515)",7
17390 017 01981,"(240, 241, 515)",3
17393 315 00238,"(38, 215, 306, 310, 330, 510, 515)",7
17395 49C147190,"(38, 215, 306, 310, 330, 510, 515)",7
17396 244 01472,"(38, 210, 215, 306, 310, 330, 510, 515)",8
17398 051 00499,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
17399 051 00417,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
17401 00000 000,"(12, 109, 205, 215, 220, 234, 300, 311, 313, 330, 515)",11
17407 005 12684,"(38, 215, 306, 310, 330, 510, 515)",7
17410 062 04889,"(38, 215, 306, 310, 331, 510)",6
17411 012 01432,"(241, 330, 515)",3
17412 150400383,"(38, 215, 306, 310, 330, 510, 515)",7
17413 100200040,"(38, 215, 306, 310, 330, 510, 515)",7
17415 010 04226,"(38, 215, 306, 310, 330, 510, 515)",7
17416 193 00038,"(12, 109, 215, 306, 331)",5
17418 162 00667,"(12, 109, 205, 215, 234, 306, 331)",7
17424 162 00890,"(12, 109, 210, 215, 306, 310, 331)",7
17425 162 01153,"(16, 104, 205, 215, 234, 306, 330, 521)",8
17426 162 01323,"(12, 109, 205, 215, 234, 301, 331)",7
17427 162 01323,"(12, 109, 205, 215, 234, 301, 306, 331)",8
17428 162 01358,"(38, 215, 301, 310, 331, 510)",6
17429 162 01358,"(38, 215, 301, 310, 331, 510)",6
17431 052 02832,"(241, 330, 510, 515)",4
17434 02W 02844,"(38, 205, 215, 220, 234, 301, 306, 310, 331, 510)",10
17435 02W 02753,"(38, 215, 220, 301, 310, 331, 510)",7
17437 004C14327,"(38, 215, 306, 330, 510, 515)",6
17439 016 00195,"(38, 215, 306, 310, 330, 510, 515)",7
17441 229 04781,"(16, 104, 215, 306, 310, 331, 510)",7
17444 449 00456,"(15, 109, 215, 306, 330, 510, 515)",7
17446 424 00291,"(12, 104, 215, 306, 331, 510, 521)",7
17447 018 08220,"(38, 215, 306, 310, 331, 510)",6
17451 151 01097,"(12, 109, 205, 215, 234, 306, 331, 510)",8
17453 206200002,"(38, 215, 306, 310, 330, 510, 515)",7
17455 440 00061,"(38, 215, 306, 310, 330, 510, 515)",7
17456 440 00098,"(38, 215, 306, 310, 330, 510, 515)",7
17459 021 00250,"(38, 215, 306, 310, 331, 510)",6
17460 021 00317,"(38, 215, 306, 310, 331, 510)",6
17461 066 03049,"(241, 330, 515)",3
17472 201400015,"(38, 215, 306, 310, 330, 510, 515)",7
17473 069 00609,"(38, 215, 306, 310, 331, 510)",6
17474 069 00572,"(12, 104, 215, 306, 331)",5
17475 412700002,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
17476 133400040,"(38, 215, 306, 310, 330, 510, 515)",7
17477 001 24841,"(38, 205, 215, 306, 331, 510, 521)",7
17480 009600000,"(12, 109, 215, 225, 234, 306, 310, 331, 510)",9
17482 153 00306,"(12, 104, 155, 205, 215, 234, 306, 311, 331)",9
17483 153 00295,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
17487 001 25753,"(12, 104, 215, 302, 306, 331, 521)",7
17488 01E 04615,"(12, 104, 155, 205, 215, 234, 306, 310, 331, 521)",10
17923 419200052,"(38, 215, 225, 234, 306, 310, 330, 331, 510, 515)",10
17924 000 00000,"(38, 215, 306, 310, 331, 510)",6
17925 309200025,"(38, 215, 306, 310, 330, 515)",6
17926 309200026,"(38, 215, 306, 310, 330, 510, 515)",7
17927 119800004,"(38, 215, 306, 310, 330, 510, 515)",7
17929 741 00330,"(12, 38, 104, 210, 215, 301, 306, 310, 330, 331, 515)",11
17930 00059C531,"(38, 202, 215, 306, 310, 330, 510, 515)",8
17931 035 00280,"(38, 215, 306, 310, 330, 510, 515)",7
17937 052 04735,"(241, 330, 515)",3
17939 229 04930,"(15, 104, 215, 306, 310, 331, 510)",7
17944 007 22553,"(16, 104, 215, 306, 310, 330, 510, 515)",8
17945 069 00461,"(12, 104, 215, 306, 310, 331)",6
17954 003800648,"(12, 104, 210, 215, 301, 306, 310, 331)",8
17955 000 00000,"(16, 104, 215, 306, 310, 331, 510)",7
17959 021200008,"(38, 215, 310, 330, 515)",5
17960 069 00563,"(240, 515)",2
17961 069 00541,"(240, 515)",2
17962 069 00562,"(240, 515)",2
17965 000  B-92,"(38, 205, 215, 234, 306, 310, 330, 510, 515)",9
17967 009 27380,"(38, 215, 306, 310, 330, 515)",6
17970 141 00756,"(15, 109, 215, 302, 306, 331, 510)",7
17971 016 04307,"(12, 109, 205, 215, 220, 234, 302, 310, 331, 521)",10
17972 869 00029,"(38, 215, 225, 306, 310, 330, 510, 515)",8
17973 212 01678,"(12, 109, 210, 215, 300, 310, 330, 331, 510, 515)",10
17974 005A00034,"(12, 109, 205, 215, 234, 302, 303, 310, 331)",9
17977 008800290,"(38, 215, 306, 310, 330, 510, 515)",7
17980 000000000,"(38, 215, 306, 310, 331, 510)",6
17982  387  449,"(12, 109, 205, 215, 234, 303, 306, 314, 330, 331, 515)",11
17983 778 00666,"(16, 104, 205, 215, 234, 303, 306, 310, 330, 331, 515)",11
17985 000000000,"(12, 109, 205, 215, 234, 301, 310, 330, 515)",9
17986 039 02275,"(38, 215, 306, 310, 331, 510)",6
17987 048 03010,"(16, 104, 215, 306, 310, 330, 510, 515)",8
17988 048 03045,"(38, 215, 306, 310, 330, 510, 515)",7
17989 133201,"(38, 215, 306, 310, 330, 510, 515)",7
17991 000 00841,"(240, 515)",2
17992 863 00200,"(12, 109, 215, 306, 310, 331)",6
17993 000000000,"(38, 215, 306, 310, 331, 510)",6
17994 105000006,"(38, 215, 306, 310, 330, 510, 515)",7
17995 001 28388,"(12, 104, 215, 300, 306, 310, 330, 515, 521)",9
17996 001 28388,"(12, 104, 215, 300, 306, 310, 330, 515, 521)",9
17997 119000100,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
17B001000000000,"(16, 110, 215, 306, 331, 510)",6
17B002000000000,"(38, 110, 215, 306, 331, 510)",6
17B003000000000,"(12, 109, 205, 215, 220, 234, 306, 310, 330, 510)",10
17B005000000000,"(38, 215, 226, 234, 306, 331, 510)",7
17C02 A09 00520,"(38, 210, 215, 330, 510, 515)",6
17C0400A2200139,"(12, 107, 113, 152, 215, 220, 306, 310, 330, 510, 515)",11
17C05 A22 00071,"(12, 107, 113, 152, 215, 220, 306, 310, 330, 510, 515)",11
17C06 B08 00050,"(31, 111, 210, 215, 220, 306, 330, 510, 515)",9
17C07 B11 00140,"(38, 210, 215, 220, 306, 330, 510, 515)",8
17C09 B20 00050,"(38, 215, 220, 306, 310, 330, 510, 515)",8
17C10 B29 00154,"(38, 215, 306, 330, 510, 515)",6
17C15AB46 00122,"(31, 111, 215, 306, 310, 313, 332, 510)",8
17C18 C23 00300,"(38, 215, 306, 330, 510, 515)",6
17C19 C37 00001,"(31, 111, 210, 215, 220, 306, 330, 510, 515)",9
17C29 D30 00025,"(38, 215, 306, 330, 510, 515)",6
17C32 D57 00100,"(31, 111, 210, 215, 220, 306, 330, 510, 515)",9
17C34 E14 00225,"(16, 110, 216, 228, 235, 306, 331, 510)",8
17C35 E19 00100,"(38, 215, 306, 330, 510, 515)",6
17C37 B33200050,"(220, 240, 330, 515)",4
17C52 252 00060,"(38, 215, 306, 310, 330, 510, 515)",7
17C5400E3500190,"(38, 215, 220, 306, 310, 330, 510, 515)",8
17C550E15600190,"(38, 205, 215, 225, 234, 306, 310, 331, 510)",9
17C560000000008,"(38, 215, 306, 310, 330, 510, 515)",7
17C5700A0900025,"(31, 107, 210, 215, 330, 515)",6
17C59 333500050,"(38, 205, 215, 225, 234, 306, 310, 330, 510, 515)",10
17M001000000000,"(31, 113, 120, 152, 219, 330, 515)",7
18001 410400045,"(31, 111, 215, 306, 313, 332, 510)",7
18004 035 00300,"(16, 109, 215, 306, 310, 330, 510, 515)",8
18005 000000003,"(15, 104, 215, 306, 310, 330, 510, 515)",8
18006 000 00040,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
18008 047,"(12, 109, 215, 225, 234, 302, 306, 331, 510)",9
18009 932 00035,"(12, 109, 215, 304, 310, 331)",6
18010 450010425,"(12, 109, 215, 301, 331)",5
18014 000000000,"(15, 104, 215, 304, 306, 310, 331, 510)",8
18015 243900000,"(38, 215, 304, 306, 310, 331, 510)",7
18016 162 00890,"(16, 104, 155, 205, 215, 234, 303, 311, 314, 330, 515)",11
18017 000000000,"(241, 331)",2
18018 000023C71,"(38, 215, 306, 310, 330, 510, 515)",7
18019 200000001,"(15, 109, 215, 306, 310, 330, 510, 515)",8
18022 1121 0115,"(38, 215, 310, 330, 510, 515)",6
18028 007200100,"(38, 215, 225, 234, 302, 310, 330, 331, 510, 515)",10
18029 020500002,"(16, 109, 215, 306, 331, 510)",6
18030 001700090,"(38, 205, 215, 234, 302, 310, 331, 510)",8
18033 3210 0023,"(38, 215, 306, 310, 331, 510)",6
18034 001100100,"(15, 109, 215, 306, 310, 330, 510, 515)",8
18035 052300050,"(38, 215, 306, 310, 330, 510, 515)",7
18036 41900 601,"(15, 109, 215, 306, 310, 330, 510, 515)",8
18037 201300075,"(38, 215, 306, 310, 330, 510, 515)",7
18039 C13825A17,"(38, 215, 306, 310, 330, 510, 515)",7
18040 135 00100,"(16, 109, 210, 215, 300, 306, 310, 330, 510, 515)",10
18041 101A00650,"(38, 215, 306, 310, 330, 510, 515)",7
18042 053 00272,"(38, 215, 306, 310, 330, 510, 515)",7
18043 134904,"(38, 219, 225, 306, 310, 330, 510, 515)",8
18044 408700001,"(38, 210, 215, 225, 306, 310, 330, 510, 515)",9
18046 033 02510,"(12, 109, 215, 306, 310, 331, 521)",7
18047 033 02520,"(12, 109, 215, 300, 306, 314, 331, 515, 521)",9
18048 033 02530,"(12, 109, 215, 306, 310, 331, 521)",7
18049 033 02544,"(12, 109, 215, 306, 310, 331, 521)",7
18050 033 02575,"(12, 109, 215, 306, 310, 331, 521)",7
18051 033 02620,"(12, 109, 215, 306, 310, 331, 521)",7
18052 033 02670,"(12, 109, 215, 300, 306, 314, 331, 515, 521)",9
18053 033 02682,"(12, 109, 215, 300, 306, 314, 331, 515, 521)",9
18054 033 02710,"(12, 109, 215, 300, 306, 314, 331, 515, 521)",9
18055 033 02770,"(12, 109, 215, 306, 310, 331, 521)",7
18057 033 02791,"(220, 240, 515)",3
18059 00015C020,"(38, 215, 306, 310, 330, 510, 515)",7
18060 00015C034,"(38, 215, 306, 310, 330, 510, 515)",7
18066 272 01304,"(16, 104, 215, 300, 306, 310, 330, 515, 521)",9
18067 002 03783,"(12, 104, 205, 215, 234, 300, 314, 331)",8
18071 096800035,"(15, 109, 205, 215, 234, 306, 330, 510, 515)",9
18072 852000015,"(38, 215, 306, 310, 330, 510, 515)",7
18074 350 02934,"(12, 29, 107, 215, 302, 310, 330, 331, 515)",9
18077 118400059,"(38, 215, 306, 310, 330, 510, 515)",7
18078 085001957,"(38, 215, 220, 306, 310, 330, 510, 515)",8
18079 070800131,"(38, 215, 306, 310, 330, 510, 515)",7
18080 080 00171,"(241,)",1
18081 00000 012,"(38, 215, 306, 310, 331, 510)",6
18082 105900094,"(16, 109, 215, 310, 330, 515)",6
18083 005 09068,"(38, 215, 306, 310, 331, 510)",6
18084 C31325E33,"(16, 109, 215, 301, 310, 330, 510, 515)",8
18085 115 00540,"(241, 330, 515)",3
18092 867 01297,"(16, 104, 215, 304, 310, 331)",6
18093 000000000,"(38, 215, 306, 310, 331, 510)",6
18094 000   129,"(16, 104, 205, 215, 234, 306, 310, 330, 510, 515)",10
18095 039 00163,"(38, 215, 306, 310, 331, 510)",6
18096 009 30635,"(12, 38, 104, 110, 144, 155, 205, 215, 220, 234, 300, 310, 331)",13
18097 455Y02773,"(15, 104, 155, 205, 215, 234, 300, 301, 314, 331, 521)",11
18098 052 07535,"(241, 330, 515)",3
18100 052 06204,"(38, 215, 306, 310, 331, 510)",6
18102 00059C403,"(30, 107, 215, 220, 304, 311, 313, 330, 510, 515)",10
18104 000000000,"(30, 107, 215, 306, 330, 510, 515)",7
18105 000000000,"(16, 110, 215, 306, 331, 510)",6
18109 000 00000,"(38, 215, 306, 310, 330, 331, 510, 515)",8
18110 353005013,"(38, 215, 241, 310, 331, 510, 521)",7
18134 00059C363,"(30, 107, 215, 304, 311, 313, 330, 510, 515)",9
18135 000000026,"(30, 102, 113, 152, 219, 225, 306, 311, 313, 330, 510, 515)",12
18136 000 01304,"(12, 16, 104, 109, 205, 210, 215, 234, 303, 310, 331, 521)",12
18138 000000652,"(38, 215, 306, 310, 330, 510, 515)",7
18139 244000095,"(31, 111, 117, 135, 156, 205, 210, 215, 220, 234, 235, 304, 332)",13
18141 038 01817,"(16, 104, 215, 306, 331, 521)",6
18142 270 05883,"(15, 109, 215, 225, 234, 306, 331, 510, 515)",9
18143 030 00070,"(15, 109, 215, 306, 310, 331, 510)",7
18144 181 01237,"(12, 109, 215, 306, 331, 521)",6
18153 002 08213,"(15, 104, 215, 300, 306, 314, 331, 521)",8
18154 002 08208,"(15, 105, 215, 306, 331, 521)",6
18164 118900151,"(38, 215, 306, 310, 330, 510, 515)",7
18165 103 00632,"(38, 215, 306, 330, 510, 515)",6
18171 000 00070,"(38, 219, 225, 306, 310, 330, 510, 515)",8
18172 000 00080,"(38, 219, 225, 306, 310, 330, 510, 515)",8
18173 004 13824,"(12, 109, 215, 306, 310, 312, 330, 510, 515, 521)",10
18174 858,"(38, 215, 225, 234, 306, 310, 330, 510, 515)",9
18175 009 21046,"(12, 109, 215, 225, 234, 303, 306, 310, 311, 331, 515)",11
18177 009 21087,"(16, 104, 215, 306, 310, 331, 510)",7
18178 171 04148,"(12, 109, 215, 302, 306, 310, 330, 515)",8
18181 440 00481,"(38, 215, 306, 310, 330, 510, 515)",7
18206 000 00000,"(38, 215, 300, 310, 331, 510)",6
18207 047 07066,"(15, 104, 155, 215, 300, 301, 314, 330, 515)",9
18208 004 13028,"(12, 104, 215, 300, 302, 310, 330, 515, 521)",9
18211 004 11264,"(15, 105, 144, 155, 205, 215, 220, 300, 306, 314, 331, 510, 515, 521)",14
18214 260 01750,"(12, 109, 215, 300, 330, 515)",6
18232 741 00340,"(38, 215, 306, 310, 330, 510, 515)",7
18237 18237 843,"(38, 215, 225, 234, 306, 310, 331, 510)",8
18240 015 02597,"(38, 215, 306, 310, 331, 510)",6
18243 171 03070,"(38, 215, 234, 306, 310, 330, 510, 515)",8
18244 000 00000,"(38, 215, 306, 310, 330, 510, 515)",7
18246 112100005,"(16, 104, 215, 306, 310, 330, 510, 515)",8
18262 045 02284,"(12, 109, 215, 306, 331)",5
18267 001 25474,"(12, 104, 215, 306, 331)",5
18268 162 00142,"(12, 104, 155, 205, 215, 234, 306, 311, 331)",9
18273 260 01291,"(16, 38, 104, 205, 210, 215, 220, 234, 303, 306, 311, 331, 521)",13
18276 050 00157,"(15, 104, 215, 302, 310, 330, 510, 515)",8
18277 160 01866,"(12, 109, 215, 306, 331)",5
18283 015 10740,"(12, 109, 215, 306, 330, 515, 521)",7
18285 058 00002,"(12, 109, 215, 306, 310, 331)",6
18287 330020249,"(12, 104, 215, 301, 306, 310, 331, 521)",8
18288 507005006,"(38, 215, 306, 310, 330, 510, 515)",7
18289 406000001,"(12, 109, 215, 301, 310, 330, 515)",7
18290 000000000,"(38, 215, 306, 310, 331, 510)",6
18293 661500023,"(15, 109, 215, 306, 310, 330, 510, 515)",8
18295 058 00156,"(38, 215, 306, 310, 331, 510)",6
18299 000 00000,"(38, 215, 306, 310, 330, 510, 515)",7
