Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
13,"12, 38, 109, 205, 210, 215, 234, 302, 306, 311, 331, 510, 515",1,02367A047 05569
10,"12, 38, 109, 210, 215, 220, 301, 306, 310, 331",1,20354 240001658
12,"12, 38, 109, 210, 215, 225, 234, 300, 310, 330, 515, 521",1,18675 01W 04078
12,"12, 38, 109, 210, 215, 225, 234, 306, 310, 331, 510, 515",1,39C126113000127
11,"12, 38, 109, 210, 215, 225, 306, 310, 330, 510, 515",1,09564 140 04870
13,"12, 38, 109, 210, 215, 300, 302, 306, 310, 311, 330, 510, 515",1,04412A450Y01272
7,"12, 38, 109, 210, 215, 301, 331",1,17015 001C25179
10,"12, 38, 109, 210, 215, 302, 311, 313, 330, 515",1,59C350092500689
10,"12, 38, 109, 210, 215, 306, 310, 330, 510, 515",1,009781185600093
11,"12, 38, 109, 205, 215, 218, 234, 300, 301, 310, 331",1,19684 006 25889
14,"12, 38, 109, 205, 210, 215, 234, 302, 306, 310, 330, 331, 510, 515",1,09596 227C00623
15,"12, 38, 107, 205, 215, 220, 234, 302, 306, 310, 311, 313, 331, 510, 515",1,08107E006 37792
11,"12, 38, 107, 215, 225, 228, 234, 306, 330, 510, 515",1,12286 001300746
12,"12, 38, 107, 205, 215, 220, 234, 306, 313, 332, 510, 515",1,12877 064800680
13,"12, 38, 107, 205, 215, 234, 300, 310, 313, 314, 330, 510, 515",1,16753 501 03072
11,"12, 38, 107, 205, 215, 234, 306, 310, 331, 510, 515",1,25B128000000000
12,"12, 38, 107, 210, 215, 302, 306, 311, 313, 331, 515, 521",1,02237A01E 00262
11,"12, 38, 107, 215, 220, 306, 310, 313, 330, 510, 515",1,06513 212 00069
10,"12, 38, 107, 215, 220, 306, 310, 330, 510, 515",1,19C030001500155
8,"12, 38, 107, 215, 220, 306, 331, 510",1,04704 339 00316
9,"12, 38, 107, 215, 220, 306, 331, 510, 515",1,04703 339 00331
14,"12, 38, 109, 110, 205, 210, 215, 234, 302, 306, 310, 330, 331, 515",1,09153R026 00002
13,"12, 38, 109, 205, 210, 215, 234, 302, 306, 310, 330, 331, 510",1,09519 01W 00865
21,"12, 38, 109, 113, 120, 152, 162, 205, 210, 215, 220, 234, 301, 302, 306, 310, 311, 313, 330, 510, 515",1,39C111106000021
12,"12, 38, 109, 116, 144, 155, 215, 220, 306, 310, 331, 510",1,00231A191 00299
16,"12, 38, 109, 152, 205, 215, 218, 220, 231, 234, 306, 310, 311, 331, 510, 515",1,02025 016 05660
10,"12, 38, 109, 155, 205, 215, 234, 304, 330, 515",1,00713719T900110
17,"12, 38, 109, 205, 210, 215, 220, 225, 234, 302, 306, 310, 311, 330, 510, 515, 521",1,02049A062 01449
13,"12, 38, 109, 205, 210, 215, 220, 226, 234, 306, 310, 331, 510",1,19C499  47  007
13,"12, 38, 109, 205, 210, 215, 220, 234, 306, 310, 330, 510, 515",1,01580A858 00503
13,"12, 38, 109, 205, 210, 215, 231, 234, 301, 306, 310, 331, 515",1,02757D000000000
16,"12, 28, 107, 109, 161, 205, 215, 220, 226, 304, 306, 311, 313, 330, 510, 515",1,19C509 195  001
10,"12, 16, 110, 205, 215, 225, 234, 306, 331, 510",1,08276 002 08262
14,"12, 16, 107, 110, 205, 215, 234, 302, 306, 311, 313, 330, 331, 515",1,19020 000 00010
9,"12, 16, 110, 205, 215, 220, 306, 331, 510",1,13690A112800839
14,"12, 16, 109, 110, 116, 155, 205, 215, 225, 306, 311, 330, 510, 515",1,01996 010 02062
13,"12, 16, 109, 110, 155, 205, 210, 215, 220, 306, 310, 331, 510",1,07769A072 00846
14,"12, 16, 109, 110, 155, 205, 215, 225, 234, 306, 310, 311, 331, 510",1,00416A01W 04489
12,"12, 16, 109, 110, 204, 215, 225, 234, 306, 310, 331, 510",1,02133A002 10476
17,"12, 16, 109, 110, 205, 210, 215, 220, 225, 234, 301, 304, 306, 310, 330, 510, 515",1,15C33 693 00035
14,"12, 16, 109, 110, 205, 210, 215, 220, 225, 306, 310, 311, 330, 510",1,01391A009 14902
13,"12, 16, 109, 110, 205, 210, 215, 220, 234, 306, 310, 331, 510",1,03104A102 01185
16,"12, 16, 109, 110, 205, 210, 215, 220, 301, 306, 310, 330, 331, 510, 515, 521",1,00684B022 02000
14,"12, 16, 109, 110, 205, 210, 215, 234, 300, 306, 310, 330, 515, 521",1,07758C01W 00740
14,"12, 16, 109, 110, 205, 210, 215, 234, 302, 306, 310, 330, 331, 510",1,08431A066 00012
14,"12, 16, 109, 110, 205, 215, 220, 225, 234, 306, 310, 311, 331, 510",1,05978 162 05409
13,"12, 16, 109, 110, 205, 215, 220, 225, 234, 306, 310, 331, 510",1,01038A010 03364
15,"12, 16, 109, 110, 205, 215, 220, 234, 301, 306, 310, 330, 331, 510, 515",1,09186 035 04077
13,"12, 16, 109, 110, 205, 215, 220, 234, 301, 306, 310, 331, 510",1,07C03 080900479
15,"12, 16, 109, 110, 205, 215, 220, 234, 306, 310, 311, 330, 331, 510, 515",1,01211A039 00534
12,"12, 16, 109, 110, 205, 215, 220, 234, 306, 310, 331, 510",1,02364A047 03788
13,"12, 16, 109, 110, 205, 215, 220, 306, 310, 311, 331, 510, 515",1,02363 047 04947
16,"12, 16, 109, 110, 205, 215, 225, 234, 301, 306, 310, 311, 331, 510, 515, 521",1,08094N001 06574
14,"12, 16, 109, 110, 205, 215, 228, 234, 301, 306, 310, 312, 331, 510",1,00932 001300006
21,"12, 16, 109, 110, 113, 120, 152, 162, 205, 215, 234, 300, 301, 306, 310, 311, 313, 330, 510, 515, 521",1,01245B271 01601
21,"12, 16, 109, 110, 113, 120, 152, 162, 205, 215, 220, 234, 301, 306, 310, 311, 313, 331, 510, 515, 521",1,07663A001 12892
24,"12, 16, 109, 110, 113, 116, 120, 152, 155, 162, 205, 210, 215, 220, 234, 300, 301, 302, 310, 311, 313, 331, 510, 515",1,01025D031 01044
13,"12, 16, 107, 110, 210, 215, 233, 306, 311, 330, 331, 510, 515",1,07026 059 00191
14,"12, 16, 107, 110, 205, 215, 234, 302, 306, 311, 313, 330, 510, 515",1,08829 017 01841
14,"12, 16, 107, 110, 205, 215, 234, 305, 306, 311, 313, 330, 510, 515",1,08638 069 00959
13,"12, 16, 107, 110, 205, 215, 234, 306, 310, 330, 331, 510, 515",1,08981 030 02486
13,"12, 16, 107, 110, 205, 215, 234, 306, 311, 313, 331, 510, 515",1,08609 002 04366
12,"12, 16, 107, 110, 205, 215, 302, 306, 310, 331, 510, 515",1,08445 225 00154
13,"12, 16, 107, 110, 205, 220, 234, 306, 311, 313, 331, 510, 515",1,01756A030 00471
14,"12, 16, 107, 110, 205, 228, 234, 306, 310, 330, 331, 510, 515, 521",1,08884 002 16877
14,"12, 16, 107, 110, 210, 215, 220, 225, 301, 306, 311, 330, 515, 521",1,06254 000 00830
13,"12, 16, 107, 110, 210, 215, 301, 302, 306, 310, 331, 510, 515",1,51C01 000 00001
9,"12, 16, 107, 110, 215, 330, 331, 510, 515",1,04516A001 30793
12,"12, 16, 107, 110, 210, 215, 306, 311, 313, 331, 510, 515",1,01725A212 01294
10,"12, 16, 107, 110, 210, 215, 306, 330, 510, 515",1,19C451 388  431
10,"12, 16, 107, 110, 210, 215, 313, 330, 510, 515",1,12902 083400027
15,"12, 16, 107, 110, 215, 220, 225, 234, 301, 306, 311, 313, 330, 510, 515",1,06044 028 00262
15,"12, 16, 107, 110, 215, 220, 225, 234, 306, 310, 311, 313, 331, 510, 515",1,06523 000 00329
13,"12, 16, 107, 110, 215, 234, 306, 311, 313, 330, 331, 510, 515",1,01519A018 03825
10,"12, 16, 107, 110, 215, 306, 330, 331, 510, 515",1,01194A025 01928
9,"12, 16, 107, 110, 215, 306, 331, 510, 515",1,00912 009 28661
13,"12, 16, 109, 110, 205, 215, 228, 234, 306, 310, 311, 331, 510",1,08782A001 30265
15,"12, 16, 109, 110, 205, 215, 234, 301, 306, 310, 311, 331, 510, 515, 521",1,08094S001 06574
13,"12, 16, 109, 110, 205, 215, 234, 301, 306, 310, 330, 331, 515",1,09174 001F19764
21,"12, 16, 110, 113, 120, 152, 162, 205, 215, 234, 301, 305, 306, 310, 311, 313, 330, 331, 510, 515, 521",1,04117A222 00520
24,"12, 16, 110, 113, 120, 152, 162, 205, 206, 216, 225, 228, 234, 235, 301, 306, 311, 313, 330, 331, 332, 510, 515, 521",1,01942A242 01822
19,"12, 16, 110, 113, 120, 152, 162, 205, 210, 215, 234, 305, 306, 311, 313, 330, 331, 510, 515",1,07333 001 30838
21,"12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 300, 301, 306, 311, 313, 330, 331, 510, 515, 521",1,05286 018 00246
20,"12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 300, 301, 306, 311, 313, 331, 510, 515, 521",1,07663C001 12892
20,"12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 300, 304, 310, 311, 314, 330, 331, 510, 515",1,06648 000 00043
18,"12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 301, 306, 310, 311, 313, 330, 515",1,02496 073 01786
17,"12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 304, 306, 311, 313, 330, 515",1,06207A017 00000
17,"12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 306, 311, 313, 330, 515, 521",1,08989 171 03915
16,"12, 16, 110, 113, 120, 152, 162, 205, 215, 234, 306, 311, 313, 330, 510, 515",1,01858A130 00597
19,"12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 234, 301, 306, 311, 313, 330, 331, 510, 515",1,07514 009 31140
17,"12, 16, 110, 113, 141, 152, 155, 205, 215, 234, 305, 306, 311, 313, 330, 510, 515",1,02743 01E 02467
15,"12, 16, 110, 113, 205, 210, 215, 220, 225, 231, 301, 330, 510, 515, 521",1,07904 073 02226
16,"12, 16, 110, 116, 155, 205, 215, 234, 301, 302, 306, 311, 330, 331, 510, 515",1,02443 002 06341
13,"12, 16, 110, 116, 155, 205, 215, 234, 306, 311, 331, 510, 515",1,03112A102 03508
12,"12, 16, 110, 155, 210, 215, 220, 301, 311, 330, 510, 515",1,39C627617800029
11,"12, 16, 110, 205, 210, 215, 220, 306, 330, 510, 515",1,13757A111101082
11,"12, 16, 110, 205, 215, 220, 225, 234, 306, 330, 515",1,08752 006 00120
10,"12, 16, 110, 205, 215, 220, 225, 306, 330, 515",1,08607 003 00005
17,"12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 234, 302, 311, 313, 331, 510, 515",1,00966 004 04587
19,"12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 234, 301, 302, 311, 313, 330, 331, 510, 515",1,02557 024 00283
15,"12, 16, 109, 110, 205, 215, 234, 301, 306, 311, 316, 330, 331, 515, 521",1,06671A002 02809
9,"12, 16, 109, 215, 228, 306, 310, 330, 515",1,40001 000 00000
15,"12, 16, 109, 110, 205, 215, 234, 306, 310, 311, 313, 330, 331, 510, 515",1,04190 039 00396
12,"12, 16, 109, 110, 205, 215, 234, 306, 310, 311, 331, 510",1,01205A033 04568
10,"12, 16, 109, 110, 205, 215, 234, 306, 310, 330",1,16299 001 16765
13,"12, 16, 109, 110, 205, 215, 234, 306, 311, 313, 330, 510, 515",1,07367A054 00684
13,"12, 16, 109, 110, 210, 215, 220, 225, 234, 306, 310, 331, 510",1,11240 140400195
10,"12, 16, 109, 110, 210, 215, 220, 301, 306, 331",1,132020132000366
11,"12, 16, 109, 110, 215, 220, 306, 310, 330, 510, 515",1,00578A016 01355
13,"12, 16, 109, 155, 205, 215, 234, 300, 304, 310, 314, 331, 515",1,18370 272 03850
9,"12, 16, 109, 215, 306, 310, 330, 510, 515",1,40009 000
18,"12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 220, 234, 306, 311, 313, 330, 510, 515",1,00851A181 02310
13,"12, 16, 110, 111, 202, 205, 215, 216, 225, 231, 306, 331, 510",1,02001 030 00838
14,"12, 16, 110, 111, 205, 206, 215, 216, 220, 225, 231, 306, 331, 510",1,02015 030 00397
23,"12, 16, 110, 113, 116, 120, 152, 155, 162, 205, 215, 220, 234, 301, 302, 304, 306, 311, 313, 331, 510, 515, 521",1,01223 015 00133
20,"12, 16, 110, 113, 116, 120, 152, 155, 162, 205, 215, 220, 234, 302, 306, 311, 313, 331, 510, 515",1,02061 01E 02203
21,"12, 16, 110, 113, 116, 120, 152, 155, 162, 205, 215, 220, 234, 304, 306, 311, 313, 330, 331, 510, 515",1,01626 018F03176
18,"12, 16, 110, 113, 116, 120, 152, 155, 162, 205, 215, 234, 306, 311, 313, 330, 510, 515",1,01417S01W 01220
22,"12, 16, 110, 113, 116, 141, 152, 155, 161, 205, 215, 226, 234, 302, 306, 310, 311, 313, 330, 331, 510, 515",1,01617 01E 01120
19,"12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 220, 234, 305, 306, 311, 313, 330, 510, 515",1,00852A181 02066
7,"12, 109, 155, 215, 301, 331, 521",1,19820 037 01362
8,"12, 109, 155, 215, 306, 310, 330, 515",1,39C622612600001
11,"12, 109, 202, 205, 215, 234, 306, 310, 331, 510, 515",1,09352 001 08080
13,"15, 109, 205, 215, 220, 234, 302, 306, 310, 330, 331, 510, 515",1,25B69 000 00000
8,"15, 109, 215, 301, 310, 330, 510, 515",1,25B55 000
7,"15, 109, 215, 301, 310, 331, 510",1,22071 002600231
7,"15, 109, 215, 302, 306, 331, 510",1,17970 141 00756
7,"15, 109, 215, 302, 310, 331, 510",1,19973 068700014
9,"15, 109, 215, 306, 310, 330, 331, 510, 515",1,20995 000 00000
9,"15, 109, 215, 306, 310, 330, 332, 510, 515",1,11952 090400818
7,"15, 109, 215, 306, 310, 332, 510",1,12072 71402 244
6,"15, 109, 215, 306, 330, 515",1,16255 042 01650
7,"15, 109, 219, 225, 310, 330, 515",1,21012 000 00000
10,"16, 28, 38, 110, 215, 306, 330, 331, 510, 515",1,05057 000
17,"16, 28, 60, 113, 116, 118, 120, 152, 162, 210, 220, 304, 305, 311, 313, 330, 515",1,02757 000000000
13,"16, 30, 104, 110, 155, 205, 215, 234, 306, 310, 331, 510, 515",1,19119 000 00000
16,"16, 30, 107, 110, 152, 155, 205, 215, 220, 234, 306, 313, 330, 331, 510, 515",1,01400 104Y00467
14,"16, 30, 107, 110, 205, 219, 220, 225, 228, 231, 306, 331, 510, 515",1,01250 191 01890
19,"16, 31, 38, 110, 117, 135, 156, 205, 215, 231, 234, 306, 310, 311, 313, 332, 510, 515, 521",1,141005141000040
16,"16, 31, 38, 110, 117, 135, 156, 205, 219, 220, 228, 234, 235, 306, 332, 510",1,12948 083000007
9,"16, 31, 107, 110, 215, 306, 330, 510, 515",1,671403C02902421
17,"16, 31, 110, 116, 117, 144, 155, 156, 205, 215, 220, 234, 301, 306, 311, 331, 510",1,00576 271Y00265
12,"16, 31, 110, 117, 152, 205, 215, 220, 306, 331, 332, 515",1,00805C035 07252
7,"15, 109, 215, 301, 302, 331, 510",1,51C37 000000000
9,"15, 109, 215, 227, 306, 310, 330, 510, 515",1,24137 300 05167
8,"15, 109, 215, 226, 306, 310, 331, 510",1,12107A30701 064
9,"15, 109, 215, 220, 304, 306, 310, 330, 515",1,49B01T000000000
9,"15, 109, 205, 215, 234, 306, 310, 331, 510",1,22571 000 00040
9,"15, 109, 205, 215, 234, 306, 330, 510, 515",1,18071 096800035
9,"15, 109, 205, 215, 306, 310, 330, 510, 515",1,15711A114 00000
9,"15, 109, 210, 215, 220, 306, 310, 331, 510",1,11449A730 01185
10,"15, 109, 210, 215, 225, 306, 310, 330, 510, 515",1,19970 001700885
8,"15, 109, 210, 215, 225, 306, 331, 510",1,18832 000 00010
9,"15, 109, 210, 215, 301, 306, 310, 331, 510",1,19978 000700011
9,"15, 109, 210, 215, 306, 310, 330, 510, 515",1,19976 000900711
9,"15, 109, 215, 220, 306, 310, 330, 510, 515",1,11961 090300357
8,"15, 109, 215, 225, 306, 330, 510, 515",1,00917AB40700152
8,"15, 109, 215, 220, 306, 310, 332, 510",1,11959 090300383
7,"15, 109, 215, 220, 310, 331, 510",1,20893 000 00000
7,"15, 109, 215, 220, 330, 510, 515",1,16257 727 01259
9,"15, 109, 215, 225, 234, 306, 331, 510, 515",1,18142 270 05883
10,"15, 109, 215, 225, 301, 310, 330, 331, 510, 515",1,09B02 000 00010
9,"15, 109, 215, 225, 301, 310, 330, 510, 515",1,22718 032 01133
9,"15, 109, 215, 225, 301, 310, 331, 510, 521",1,18740 114500600
9,"15, 109, 215, 225, 306, 310, 330, 510, 515",1,18382 000 00000
18,"16, 38, 104, 105, 155, 161, 205, 210, 215, 234, 300, 301, 306, 310, 311, 331, 510, 515",1,09600L227 00028
14,"16, 38, 104, 105, 155, 161, 205, 210, 234, 302, 311, 331, 515, 521",1,09535 008X00093
15,"16, 38, 104, 110, 155, 205, 215, 234, 306, 310, 311, 330, 510, 515, 521",1,25B12 000 00020
19,"16, 38, 110, 113, 116, 141, 152, 155, 205, 215, 234, 301, 306, 311, 314, 330, 331, 515, 521",1,01923 035 07447
13,"16, 38, 105, 205, 210, 215, 234, 302, 306, 310, 311, 330, 331",1,09630B006 26029
13,"16, 38, 105, 205, 215, 220, 234, 302, 306, 311, 331, 510, 515",1,08206 992 01685
5,"16, 38, 105, 215, 331",1,09279 061 00233
12,"16, 38, 109, 110, 205, 215, 234, 306, 310, 330, 510, 515",1,07735A001 18643
11,"16, 38, 109, 110, 215, 234, 306, 310, 330, 331, 510",1,00910A009 29038
12,"16, 38, 109, 205, 210, 215, 220, 306, 310, 330, 510, 515",1,00806A015 09300
11,"16, 38, 109, 205, 215, 234, 306, 310, 330, 510, 515",1,06521A000 00117
11,"16, 38, 109, 210, 215, 220, 306, 310, 330, 510, 515",1,11279A507 00650
18,"16, 38, 110, 116, 120, 152, 155, 162, 205, 215, 220, 234, 306, 311, 313, 331, 510, 515",1,00441 01W 03499
12,"16, 38, 105, 155, 205, 210, 215, 234, 301, 306, 310, 330",1,09607 144 00011
15,"16, 38, 110, 116, 144, 155, 205, 210, 215, 234, 306, 311, 331, 510, 515",1,00409 003 00676
17,"16, 38, 110, 116, 144, 155, 205, 215, 220, 234, 301, 306, 310, 311, 331, 510, 521",1,00332A271 00009
15,"16, 38, 110, 116, 144, 155, 205, 215, 220, 234, 301, 306, 311, 331, 510",1,02208 161 03340
15,"16, 38, 110, 116, 144, 155, 205, 215, 220, 234, 302, 306, 311, 331, 510",1,01418 025X00014
16,"16, 38, 110, 116, 144, 155, 205, 215, 220, 234, 306, 315, 330, 331, 510, 515",1,01180 009 17502
15,"16, 38, 110, 116, 144, 155, 205, 215, 234, 301, 302, 330, 331, 510, 515",1,01182 009 16844
16,"16, 38, 110, 116, 144, 155, 205, 215, 234, 301, 306, 311, 330, 331, 510, 515",1,01181 009 17144
13,"16, 38, 110, 116, 144, 155, 205, 215, 234, 306, 311, 331, 521",1,00626 006F25631
13,"16, 38, 105, 205, 210, 215, 234, 301, 302, 306, 310, 331, 510",1,00445A066 01095
11,"16, 38, 104, 219, 225, 231, 306, 310, 330, 510, 515",1,39C459439300009
8,"16, 38, 104, 110, 215, 310, 331, 510",1,07981A002 00182
12,"16, 38, 104, 210, 215, 226, 302, 306, 310, 330, 331, 510",1,13494 144C00092
22,"16, 38, 104, 116, 143, 148, 154, 155, 205, 215, 233, 300, 301, 302, 305, 306, 310, 314, 330, 331, 515, 521",1,19273 508 03033
13,"16, 38, 104, 204, 215, 220, 225, 234, 306, 310, 330, 510, 515",1,11C20 004700485
13,"16, 38, 104, 205, 210, 215, 220, 234, 303, 306, 311, 331, 521",1,18273 260 01291
11,"16, 38, 104, 205, 210, 215, 234, 302, 306, 311, 330",1,07624A001 28259
11,"16, 38, 104, 205, 210, 215, 234, 306, 310, 330, 510",1,07800A001 27469
10,"16, 38, 104, 205, 210, 215, 306, 310, 330, 510",1,07801A001 27321
11,"16, 38, 104, 205, 215, 234, 306, 310, 330, 510, 515",1,01444B069800620
12,"16, 38, 104, 210, 215, 225, 234, 306, 310, 331, 510, 515",1,01917A140 04078
11,"16, 38, 104, 210, 215, 301, 302, 306, 311, 313, 330",1,09609 144 00118
8,"16, 38, 104, 215, 306, 310, 331, 510",1,19C340 18A  018
10,"16, 38, 104, 210, 215, 302, 306, 310, 330, 510",1,09648 006F22471
9,"16, 38, 104, 210, 215, 306, 310, 330, 510",1,59C425052500035
11,"16, 38, 104, 215, 225, 234, 300, 310, 331, 510, 521",1,20215 001 13147
13,"16, 38, 104, 215, 225, 234, 301, 306, 310, 331, 510, 515, 521",1,20724 009 31698
12,"16, 38, 104, 215, 226, 234, 306, 310, 330, 331, 510, 515",1,11366A915 00288
11,"16, 38, 104, 215, 226, 234, 306, 310, 330, 510, 515",1,39C528507000560
9,"16, 38, 104, 215, 234, 306, 310, 331, 510",1,01741C009 17882
9,"16, 38, 104, 215, 306, 310, 330, 510, 515",1,21200 000 00010
11,"15, 109, 205, 215, 234, 302, 306, 310, 330, 510, 515",1,49012 000000000
11,"15, 109, 205, 215, 220, 227, 234, 306, 310, 332, 510",1,16C02 579000548
15,"16, 38, 110, 116, 155, 205, 210, 215, 219, 306, 310, 330, 331, 510, 515",1,02321 211 01386
11,"15, 109, 204, 215, 220, 226, 234, 306, 310, 331, 510",1,14555 000
12,"15, 104, 155, 205, 215, 234, 302, 306, 314, 330, 515, 521",1,16447 070 00485
11,"15, 104, 155, 205, 215, 234, 302, 306, 314, 330, 521",1,13520 064 02112
13,"15, 104, 155, 205, 215, 234, 302, 310, 314, 315, 330, 510, 515",1,09713 064 01587
10,"15, 104, 155, 205, 215, 234, 302, 310, 330, 521",1,09802 006 29165
10,"15, 104, 155, 205, 215, 234, 302, 312, 330, 515",1,07582A001C28950
10,"15, 104, 155, 205, 215, 234, 302, 314, 331, 521",1,13516G064C02119
11,"15, 104, 155, 205, 215, 234, 302, 315, 331, 515, 521",1,08995C01EX00592
11,"15, 104, 155, 205, 215, 234, 303, 311, 330, 331, 521",1,13512 059 00518
10,"15, 104, 155, 205, 215, 234, 305, 314, 331, 510",1,18480 001C29225
10,"15, 104, 155, 205, 215, 234, 306, 310, 330, 515",1,17355 161 01541
10,"15, 104, 155, 205, 215, 234, 306, 312, 330, 515",1,09667 064 02327
12,"15, 104, 155, 205, 215, 301, 302, 311, 313, 314, 331, 510",1,13516A064 02159
9,"15, 104, 155, 215, 300, 301, 314, 330, 515",1,18207 047 07066
10,"15, 104, 155, 215, 300, 302, 306, 314, 331, 510",1,16185 029 00527
9,"15, 104, 155, 215, 300, 306, 310, 330, 331",1,17212 002 01405
8,"15, 104, 155, 215, 302, 314, 331, 521",1,13516F064C02138
8,"15, 104, 155, 215, 306, 312, 330, 515",1,13528A064C01963
10,"15, 104, 205, 215, 220, 234, 300, 314, 330, 515",1,05150A090600009
10,"15, 104, 205, 215, 234, 300, 306, 310, 331, 510",1,13538A064 01780
13,"15, 104, 155, 205, 215, 234, 302, 306, 311, 330, 331, 515, 521",1,13516 002 00582
11,"15, 104, 155, 205, 215, 234, 302, 306, 311, 330, 331",1,09623 171C00242
10,"15, 104, 155, 205, 215, 234, 302, 306, 310, 331",1,09715 064C01458
12,"15, 104, 155, 205, 215, 234, 300, 302, 315, 330, 331, 515",1,16511 02WC00170
9,"15, 104, 154, 215, 306, 312, 330, 510, 515",1,17323 004 13496
11,"15, 104, 155, 205, 210, 215, 234, 302, 303, 315, 331",1,08392C001C29717
12,"15, 104, 155, 205, 215, 220, 233, 300, 302, 306, 314, 331",1,16188 064 02525
11,"15, 104, 155, 205, 215, 220, 234, 300, 303, 314, 331",1,13516D064C02159
10,"15, 104, 155, 205, 215, 220, 234, 300, 314, 331",1,13516C064C02151
12,"15, 104, 155, 205, 215, 233, 300, 314, 330, 331, 510, 515",1,17329 004 13685
11,"15, 104, 155, 205, 215, 234, 300, 301, 314, 331, 521",1,18097 455Y02773
12,"15, 104, 155, 205, 215, 234, 300, 302, 314, 330, 510, 515",1,13527 064 02005
12,"15, 104, 155, 205, 215, 234, 300, 303, 306, 314, 331, 521",1,16553 002C00280
11,"15, 104, 155, 205, 215, 234, 302, 306, 310, 330, 515",1,17208 002 01443
12,"15, 104, 155, 205, 215, 234, 300, 306, 314, 330, 510, 515",1,16509 02W 00184
11,"15, 104, 155, 205, 215, 234, 300, 306, 314, 330, 515",1,09666 123 01115
11,"15, 104, 155, 205, 215, 234, 300, 306, 314, 331, 515",1,08199A001C29712
11,"15, 104, 155, 205, 215, 234, 300, 306, 315, 330, 515",1,16510 02W 00174
10,"15, 104, 155, 205, 215, 234, 300, 314, 330, 521",1,13521 064 02087
10,"15, 104, 155, 205, 215, 234, 300, 314, 331, 515",1,18647 047C07083
11,"15, 104, 155, 205, 215, 234, 300, 314, 331, 515, 521",1,17064 001C29705
10,"15, 104, 155, 205, 215, 234, 301, 305, 312, 330",1,13541B000 00001
12,"15, 104, 205, 215, 234, 300, 306, 312, 314, 330, 510, 515",1,13533 064 01862
10,"15, 104, 205, 215, 234, 300, 306, 330, 515, 521",1,17365 002 01597
9,"15, 104, 205, 215, 234, 300, 310, 331, 510",1,13538 064 01780
8,"15, 104, 215, 306, 310, 330, 331, 510",1,22750 000 00489
9,"15, 104, 215, 301, 306, 310, 330, 510, 515",1,25B137000000000
9,"15, 104, 215, 301, 310, 330, 510, 515, 521",1,17281 004 14345
8,"15, 104, 215, 301, 310, 331, 510, 521",1,19874 102 04863
8,"15, 104, 215, 302, 306, 315, 330, 515",1,16673 009 02523
8,"15, 104, 215, 302, 310, 330, 510, 515",1,18276 050 00157
8,"15, 104, 215, 302, 310, 331, 510, 521",1,20052 041 06585
5,"15, 104, 215, 302, 331",1,17213 002 01522
8,"15, 104, 215, 304, 306, 310, 331, 510",1,18014 000000000
7,"15, 104, 215, 306, 310, 330, 515",1,23840 000 00590
8,"15, 104, 215, 300, 306, 314, 331, 521",1,18153 002 08213
8,"15, 104, 215, 306, 311, 331, 510, 521",1,17368 047C07219
6,"15, 104, 215, 306, 330, 515",1,24260004DV13528
9,"15, 104, 219, 225, 306, 310, 330, 510, 515",1,23964 000 00028
14,"15, 105, 144, 155, 205, 215, 220, 300, 306, 314, 331, 510, 515, 521",1,18211 004 11264
11,"15, 105, 205, 215, 234, 306, 311, 330, 510, 515, 521",1,09314 054 01256
8,"15, 105, 205, 215, 234, 306, 331, 510",1,09523 006 21096
6,"15, 105, 215, 306, 331, 521",1,18154 002 08208
17,"15, 109, 147, 154, 205, 215, 220, 227, 234, 300, 301, 303, 315, 330, 331, 510, 515",1,22258 000 00000
10,"15, 104, 215, 301, 302, 312, 330, 331, 510, 515",1,13537 064 01811
10,"15, 104, 215, 300, 302, 314, 330, 510, 515, 521",1,17325 004 13545
9,"15, 104, 205, 215, 234, 300, 314, 331, 521",1,17118 064C01432
8,"15, 104, 205, 215, 301, 306, 314, 331",1,19732 000 00001
11,"15, 104, 205, 215, 234, 302, 306, 310, 330, 510, 515",1,01399A015 05046
8,"15, 104, 205, 215, 234, 302, 310, 330",1,09803 006 29567
9,"15, 104, 205, 215, 234, 302, 310, 330, 331",1,04668 000400668
10,"15, 104, 205, 215, 234, 302, 310, 331, 510, 521",1,09634 006 26421
9,"15, 104, 205, 215, 234, 302, 311, 331, 521",1,09281 061 00220
9,"15, 104, 205, 215, 234, 306, 310, 331, 510",1,01741B009 17875
9,"15, 104, 205, 215, 234, 306, 312, 330, 521",1,13584 006C27864
8,"15, 104, 205, 215, 300, 306, 315, 331",1,13514F002 00694
10,"15, 104, 210, 215, 220, 306, 310, 330, 510, 515",1,19975 001800011
8,"15, 104, 215, 227, 306, 310, 331, 510",1,20437 058900004
9,"15, 104, 210, 215, 302, 314, 330, 515, 521",1,13522 064 02062
